"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H4,H4,H5,H2,H1";"MountingHole_2.2mm_M2";5;"MountingHole";;;
2;"LS1";"Buzzer_12x9.5RM7.6";1;"Speaker";;;
3;"R14,R15";"R_0603_1608Metric";2;"22";;;
4;"R13,R17";"R_0603_1608Metric";2;"10k";;;
5;"D3,D1,D2";"LED_0805_2012Metric";3;"LED";;;
6;"R12,R7,R5,R8,R11,R10,R6,R9";"R_0805_2012Metric";8;"100";;;
7;"C2,C3";"C_0603_1608Metric";2;"22p";;;
8;"C10,C12,C11,C5,C7,C6,C4";"C_0603_1608Metric";7;"0.1uF";;;
9;"R4,R3";"R_0805_2012Metric";2;"330";;;
10;"S2,S1";"PTS125_SMD_Button";2;"PTS125SM43SMTR21M_LFS";;;
11;"R16";"R_0603_1608Metric";1;"1k";;;
12;"C8";"C_0805_2012Metric";1;"10uF";;;
13;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
14;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"74HC595";;;
15;"J3";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP_Conn";;;
16;"F1";"Fuse_1812_4532Metric";1;"PTCSMD";;;
17;"J1";"PinSocket_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
18;"C14";"C_0603_1608Metric";1;"2.2uF";;;
19;"U1";"CA56-12EWA";1;"CA56-12EWA";;;
20;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"16MHz";;;
21;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
22;"C1";"C_0603_1608Metric";1;"0.1u";;;
23;"C15";"C_0603_1608Metric";1;"10nF";;;
24;"R1,R2";"R_0805_2012Metric";2;"10k";;;
25;"C13,C9";"C_0603_1608Metric";2;"1uF";;;
26;"U5";"SOT-23-5";1;"LP2985-3.3";;;
27;"J2";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
28;"S3";"PTS526_SMD_Button";1;"PTS526_SM08_SMTR2_LFS";;;
