Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603_1608Metric",131.000000,-87.500000,180.000000,top
"C2","22p","C_0603_1608Metric",143.500000,-129.000000,90.000000,top
"C3","22p","C_0603_1608Metric",135.500000,-129.000000,90.000000,top
"C4","0.1uF","C_0603_1608Metric",137.300000,-124.645000,-90.000000,top
"C5","0.1uF","C_0603_1608Metric",130.700000,-112.600000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",130.800000,-117.500000,180.000000,top
"C7","0.1uF","C_0603_1608Metric",148.475000,-119.100000,0.000000,top
"C8","10uF","C_0805_2012Metric",130.850000,-110.600000,180.000000,top
"C9","1uF","C_0603_1608Metric",130.768330,-115.795791,180.000000,top
"C10","0.1uF","C_0603_1608Metric",135.800000,-107.420000,90.000000,top
"C11","0.1uF","C_0603_1608Metric",144.800000,-107.920000,0.000000,top
"C12","0.1uF","C_0603_1608Metric",137.500000,-107.500000,90.000000,top
"C13","1uF","C_0603_1608Metric",113.000000,-121.500000,90.000000,top
"C14","2.2uF","C_0603_1608Metric",120.500000,-127.000000,-90.000000,top
"C15","10nF","C_0603_1608Metric",112.500000,-125.000000,180.000000,top
"D1","LED","LED_0805_2012Metric",156.062500,-82.500000,0.000000,top
"D2","LED","LED_0805_2012Metric",156.062500,-85.540000,0.000000,top
"D3","LED","LED_0805_2012Metric",109.437500,-100.500000,0.000000,top
"F1","PTCSMD","Fuse_1812_4532Metric",112.000000,-107.500000,0.000000,top
"J1","AVR-ISP-6","PinSocket_2x03_P2.54mm_Vertical",130.040000,-126.040000,-90.000000,top
"J2","USB_B_Mini","USB_Mini-B_Lumberg_2486_01_Horizontal",102.575000,-115.000000,-90.000000,top
"J3","ESP_Conn","PinSocket_2x04_P2.54mm_Vertical",102.920000,-134.210000,90.000000,top
"LS1","Speaker","Buzzer_12x9.5RM7.6",183.300000,-66.500000,180.000000,top
"R1","10k","R_0805_2012Metric",165.150000,-106.000000,180.000000,top
"R2","10k","R_0805_2012Metric",165.650000,-125.500000,180.000000,top
"R3","330","R_0805_2012Metric",160.472500,-82.455000,180.000000,top
"R4","330","R_0805_2012Metric",160.472500,-85.405000,180.000000,top
"R5","100","R_0805_2012Metric",146.200000,-76.400000,90.000000,top
"R6","100","R_0805_2012Metric",150.500000,-84.500000,90.000000,top
"R7","100","R_0805_2012Metric",105.000000,-63.000000,90.000000,top
"R8","100","R_0805_2012Metric",105.000000,-74.912500,90.000000,top
"R9","100","R_0805_2012Metric",105.500000,-82.250000,90.000000,top
"R10","100","R_0805_2012Metric",140.000000,-74.000000,90.000000,top
"R11","100","R_0805_2012Metric",104.500000,-58.000000,90.000000,top
"R12","100","R_0805_2012Metric",105.000000,-68.250000,90.000000,top
"R13","10k","R_0603_1608Metric",127.175000,-141.000000,180.000000,top
"R14","22","R_0603_1608Metric",109.500000,-115.500000,0.000000,top
"R15","22","R_0603_1608Metric",109.500000,-114.000000,0.000000,top
"R16","1k","R_0603_1608Metric",113.500000,-100.500000,180.000000,top
"R17","10k","R_0603_1608Metric",107.175000,-130.000000,180.000000,top
"S1","PTS125SM43SMTR21M_LFS","PTS125_SMD_Button",178.150000,-103.500000,180.000000,top
"S2","PTS125SM43SMTR21M_LFS","PTS125_SMD_Button",178.000000,-123.000000,180.000000,top
"S3","PTS526_SM08_SMTR2_LFS","PTS526_SMD_Button",127.000000,-136.500000,0.000000,top
"U1","CA56-12EWA","CA56-12EWA",143.850000,-54.522500,-90.000000,top
"U2","74HC595","TSSOP-16_4.4x5mm_P0.65mm",137.000000,-85.500000,180.000000,top
"U3","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",139.700000,-116.100000,0.000000,top
"U4","USBLC6-2SC6","SOT-23-6",115.000000,-114.500000,0.000000,top
"U5","LP2985-3.3","SOT-23-5",116.000000,-124.000000,-90.000000,top
"Y1","16MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",139.500000,-129.000000,180.000000,top
